1;AF;93
2;AX;358
3;AL;355
4;DZ;213
5;AS;1684
6;AD;376
7;AO;244
8;AI;1264
9;AQ;672
10;AG;1268
11;AR;54
12;AM;374
13;AW;297
14;AU;61
15;AT;43
16;AZ;994
17;BS;1242
18;BH;973
19;BD;880
20;BB;1246
21;BY;375
22;BE;32
23;BZ;501
24;BJ;229
25;BM;1441
26;BT;975
27;BO;591
28;BQ;5997
29;BA;387
30;BW;267
31;BV;
32;BR;55
33;IO;246
34;UM;
35;VG;1284
36;VI;1340
37;BN;673
38;BG;359
39;BF;226
40;BI;257
41;KH;855
42;CM;237
43;CA;1
44;CV;238
45;KY;1345
46;CF;236
47;TD;235
48;CL;56
49;CN;86
50;CX;61
51;CC;61
52;CO;57
53;KM;269
54;CG;242
55;CD;243
56;CK;682
57;CR;506
58;HR;385
59;CU;53
60;CW;599
61;CY;357
62;CZ;420
63;DK;45
64;DJ;253
65;DM;1767
66;DO;1809
67;DO;1829
68;DO;1849
69;EC;593
70;EG;20
71;SV;503
72;GQ;240
73;ER;291
74;EE;372
75;ET;251
76;FK;500
77;FO;298
78;FJ;679
79;FI;358
80;FR;33
81;GF;594
82;PF;689
83;TF;
84;GA;241
85;GM;220
86;GE;995
87;DE;49
88;GH;233
89;GI;350
90;GR;30
91;GL;299
92;GD;1473
93;GP;590
94;GU;1671
95;GT;502
96;GG;44
97;GN;224
98;GW;245
99;GY;592
100;HT;509
101;HM;
102;VA;379
103;HN;504
104;HK;852
105;HU;36
106;IS;354
107;IN;91
108;ID;62
109;CI;225
110;IR;98
111;IQ;964
112;IE;353
113;IM;44
114;IL;972
115;IT;39
116;JM;1876
117;JP;81
118;JE;44
119;JO;962
120;KZ;76
121;KZ;77
122;KE;254
123;KI;686
124;KW;965
125;KG;996
126;LA;856
127;LV;371
128;LB;961
129;LS;266
130;LR;231
131;LY;218
132;LI;423
133;LT;370
134;LU;352
135;MO;853
136;MK;389
137;MG;261
138;MW;265
139;MY;60
140;MV;960
141;ML;223
142;MT;356
143;MH;692
144;MQ;596
145;MR;222
146;MU;230
147;YT;262
148;MX;52
149;FM;691
150;MD;373
151;MC;377
152;MN;976
153;ME;382
154;MS;1664
155;MA;212
156;MZ;258
157;MM;95
158;NA;264
159;NR;674
160;NP;977
161;NL;31
162;NC;687
163;NZ;64
164;NI;505
165;NE;227
166;NG;234
167;NU;683
168;NF;672
169;KP;850
170;MP;1670
171;NO;47
172;OM;968
173;PK;92
174;PW;680
175;PS;970
176;PA;507
177;PG;675
178;PY;595
179;PE;51
180;PH;63
181;PN;64
182;PL;48
183;PT;351
184;PR;1787
185;PR;1939
186;QA;974
187;XK;383
188;RE;262
189;RO;40
190;RU;7
191;RW;250
192;BL;590
193;SH;290
194;KN;1869
195;LC;1758
196;MF;590
197;PM;508
198;VC;1784
199;WS;685
200;SM;378
201;ST;239
202;SA;966
203;SN;221
204;RS;381
205;SC;248
206;SL;232
207;SG;65
208;SX;1721
209;SK;421
210;SI;386
211;SB;677
212;SO;252
213;ZA;27
214;GS;500
215;KR;82
216;SS;211
217;ES;34
218;LK;94
219;SD;249
220;SR;597
221;SJ;4779
222;SZ;268
223;SE;46
224;CH;41
225;SY;963
226;TW;886
227;TJ;992
228;TZ;255
229;TH;66
230;TL;670
231;TG;228
232;TK;690
233;TO;676
234;TT;1868
235;TN;216
236;TR;90
237;TM;993
238;TC;1649
239;TV;688
240;UG;256
241;UA;380
242;AE;971
243;GB;44
244;US;1
245;UY;598
246;UZ;998
247;VU;678
248;VE;58
249;VN;84
250;WF;681
251;EH;212
252;YE;967
253;ZM;260
254;ZW;263